,Intensity,RT
0,3319.8782,1552.02954101562
1,3386.6545,1573.44921875
2,3564.453,1606.37744140625
3,2950.6843,1634.86328125
4,3632.7183,1680.16735839844
5,3434.1604,1681.75329589844
6,4318.8086,1806.53210449219
7,5904.1753,1956.12158203125
8,6181.339,2033.83422851562
9,4653.9067,2036.53295898438
10,9735.006,2142.57641601562
11,6506.578,2153.15795898438
12,7107.628,2176.62841796875
13,7973.4062,2225.79760742188
14,8631.9,2250.45581054688
15,8023.1963,2284.27783203125
16,10130.943,2288.541015625
17,7197.5005,2302.21069335938
18,7687.7275,2310.283203125
19,7674.101,2344.91845703125
20,8246.254,2362.99853515625
21,8203.094,2417.87133789062
