,Mass,Intensity,RT
0,300.0897645621494,3431.0261,1501.41394042969
1,300.18132740129533,1181.809,1501.41394042969
2,300.20267474758003,1516.1746,1501.41394042969
3,300.29828894599336,1719.8547,1501.41394042969
4,300.3345977802038,1115.2596,1501.41394042969
5,301.14146031330046,40624.336,1501.41394042969
6,300.06577092599525,914.79034,1503.03125
7,300.08932376441896,1842.2311,1503.03125
8,300.2018173360483,2395.1025,1503.03125
9,300.28960754478305,851.4738,1503.03125
10,300.2981327863004,1626.4624,1503.03125
11,300.3346816032124,1830.024,1503.03125
12,300.0655376904414,789.3734,1504.31518554688
13,300.08949705724626,2810.2341,1504.31518554688
14,300.2020953146766,1751.1084,1504.31518554688
15,300.2982842097612,1107.8386,1504.31518554688
16,300.3344672873468,1403.3446,1504.31518554688
17,301.1415463553537,38654.156,1504.31518554688
18,300.08969729528235,3358.1047,1506.10327148438
19,300.14442951270433,1391.3488,1506.10327148438
20,300.1808322858094,2010.7505,1506.10327148438
21,300.2022995108863,3580.989,1506.10327148438
22,300.2983925261368,1654.1954,1506.10327148438
23,300.3341944945532,1122.2659,1506.10327148438
24,300.02961474114085,1056.8984,1507.69128417969
25,300.0896262060012,2595.467,1507.69128417969
26,300.14443801069774,1318.1053,1507.69128417969
27,300.2019712643554,3188.7034,1507.69128417969
28,300.2982215376335,1331.585,1507.69128417969
29,300.33495182294007,1022.0821,1507.69128417969
30,300.09021157749237,2170.0977,1509.38696289062
31,300.2019535150541,2319.9336,1509.38696289062
32,300.29791199261217,1455.7579,1509.38696289062
33,300.33480158982957,1277.3618,1509.38696289062
34,301.1416074256887,33328.68,1509.38696289062
35,301.9880348475512,1911.9274,1509.38696289062
36,300.0899072731592,2489.628,1510.74194335938
37,300.20220067391494,2607.0967,1510.74194335938
38,300.2983080325487,1286.289,1510.74194335938
39,300.3344978349877,1142.939,1510.74194335938
40,301.1414796762225,34637.418,1510.74194335938
41,301.21652081092213,1431.3438,1510.74194335938
42,300.06639573123243,1246.6323,1512.52160644531
43,300.08959578584575,3715.0251,1512.52160644531
44,300.144504447793,1920.737,1512.52160644531
45,300.18099356740856,1597.1156,1512.52160644531
46,300.202159557753,2877.9663,1512.52160644531
47,300.29812867463994,1814.2994,1512.52160644531
48,300.029200934649,1042.2797,1514.17297363281
49,300.08955650300925,3328.9768,1514.17297363281
50,300.20214808636933,3247.8577,1514.17297363281
51,300.2984320396936,1325.4585,1514.17297363281
52,300.33446346230835,1113.2255,1514.17297363281
53,301.1415040180415,37069.996,1514.17297363281
54,300.0658294625195,997.44385,1515.81188964844
55,300.08944942371227,2784.203,1515.81188964844
56,300.14473688247404,1073.9989,1515.81188964844
57,300.2021349270502,4216.865,1515.81188964844
58,300.29830365710075,1888.2543,1515.81188964844
59,300.3344204857559,1910.3048,1515.81188964844
60,300.06556692001067,888.9433,1517.42297363281
61,300.0896183335175,2845.526,1517.42297363281
62,300.2022674750749,3328.4395,1517.42297363281
63,300.2981627099248,1954.9597,1517.42297363281
64,300.3343611155335,1215.0731,1517.42297363281
65,301.1416120646235,38149.938,1517.42297363281
66,300.02960471754886,1071.2931,1519.09802246094
67,300.08966409195585,3657.7717,1519.09802246094
68,300.2020685980889,3670.9214,1519.09802246094
69,300.2980894649662,1818.882,1519.09802246094
70,300.33448465827416,1813.4603,1519.09802246094
71,301.14152297155397,42315.87,1519.09802246094
72,300.0292765235922,757.9267,1520.36926269531
73,300.08943170541176,2365.3635,1520.36926269531
74,300.2022524965062,2382.462,1520.36926269531
75,300.2981765401073,909.26105,1520.36926269531
76,300.33451128001377,978.0992,1520.36926269531
77,301.141496001189,33634.85,1520.36926269531
78,300.08953136089946,4234.714,1522.154296875
79,300.18141063905625,1069.6875,1522.154296875
80,300.2021056012484,4034.4944,1522.154296875
81,300.2169489257153,944.88135,1522.154296875
82,300.29840964026846,1644.9337,1522.154296875
83,300.3343709573599,1654.481,1522.154296875
84,300.06533028485796,966.8541,1523.80114746094
85,300.08932126347065,3462.2053,1523.80114746094
86,300.2019328244412,3749.9253,1523.80114746094
87,300.29802467172027,1308.1709,1523.80114746094
88,301.1415293775441,41187.984,1523.80114746094
89,301.2161848073655,1676.8575,1523.80114746094
90,300.08937160627255,2290.9402,1525.45324707031
91,300.20203019734606,5369.484,1525.45324707031
92,300.29822382885595,2732.2637,1525.45324707031
93,300.3347342536539,1310.1832,1525.45324707031
94,301.14145845383734,42291.0,1525.45324707031
95,301.17594879227045,1178.1409,1525.45324707031
96,300.0893153525974,2096.9084,1526.69714355469
97,300.20160653885114,3568.018,1526.69714355469
98,300.29796896422425,1490.8613,1526.69714355469
99,301.1415327213631,34908.97,1526.69714355469
100,301.9878738182384,2519.4976,1526.69714355469
101,302.04542479239444,1658.2894,1526.69714355469
102,300.08946727338133,3158.301,1528.40295410156
103,300.1803354303544,1457.1975,1528.40295410156
104,300.20211439371514,5378.1226,1528.40295410156
105,300.29023488140626,1152.4895,1528.40295410156
106,300.29816983621185,2804.0437,1528.40295410156
107,300.33450264167084,1367.5311,1528.40295410156
108,300.0656576762122,1136.4883,1530.017578125
109,300.0897225240734,2787.9072,1530.017578125
110,300.20205608166896,3000.744,1530.017578125
111,300.2978293122169,1151.1006,1530.017578125
112,300.334499990586,1010.8854,1530.017578125
113,301.0932750262889,830.4616,1530.017578125
114,300.06547301186026,1101.2064,1531.35034179688
115,300.08957620155616,2810.3108,1531.35034179688
116,300.144625855532,1101.3025,1531.35034179688
117,300.1654158247537,1417.8447,1531.35034179688
118,300.20203060535243,3979.2563,1531.35034179688
119,300.2979670370376,1446.5361,1531.35034179688
120,300.0717742144568,995.8441,1533.1142578125
121,300.0898353614865,3236.873,1533.1142578125
122,300.2020932175269,4699.924,1533.1142578125
123,300.29034618424714,831.18774,1533.1142578125
124,300.2983051426568,1056.0621,1533.1142578125
125,300.3344267800194,1906.4125,1533.1142578125
126,300.0296071293363,1256.7593,1534.83264160156
127,300.06497465863913,969.96594,1534.83264160156
128,300.0896109030919,2837.223,1534.83264160156
129,300.14490896143303,983.98395,1534.83264160156
130,300.1660941518393,1161.5881,1534.83264160156
131,300.20204514406583,3832.8584,1534.83264160156
132,300.06580408989225,1321.0448,1536.197265625
133,300.0893166686968,2529.3186,1536.197265625
134,300.1663111049644,880.8936,1536.197265625
135,300.2018659225005,3788.9702,1536.197265625
136,300.2902714259499,996.10266,1536.197265625
137,300.2983887598592,969.3587,1536.197265625
138,300.0294859249345,1086.8779,1537.60900878906
139,300.0651592858959,974.6863,1537.60900878906
140,300.08969584303316,2488.3523,1537.60900878906
141,300.2022683328754,4195.052,1537.60900878906
142,300.2980426756921,1134.7897,1537.60900878906
143,300.3349150180523,1595.0942,1537.60900878906
144,300.06581319614315,1578.3378,1539.38354492188
145,300.08937945890403,3577.193,1539.38354492188
146,300.14464387815576,1560.953,1539.38354492188
147,300.16583383553757,1478.7004,1539.38354492188
148,300.18078766795634,1141.1368,1539.38354492188
149,300.20220403218775,6331.5674,1539.38354492188
150,300.0658913498188,1435.344,1541.00708007812
151,300.0896676131963,2702.7673,1541.00708007812
152,300.1658525677319,1527.2319,1541.00708007812
153,300.2022371625812,4489.057,1541.00708007812
154,300.29821301898085,1704.0308,1541.00708007812
155,300.3346149631043,1884.6929,1541.00708007812
156,300.0661171030999,1284.4307,1542.74108886719
157,300.0894005527841,2889.1948,1542.74108886719
158,300.14473982201224,964.7747,1542.74108886719
159,300.1655000707575,783.0478,1542.74108886719
160,300.1802159833286,865.54034,1542.74108886719
161,300.2019076440737,3776.1619,1542.74108886719
162,300.02943871801904,1097.9966,1544.19909667969
163,300.06582153960323,1494.1185,1544.19909667969
164,300.08939740603284,2568.206,1544.19909667969
165,300.20217216863347,4155.114,1544.19909667969
166,300.29880170350765,893.9889,1544.19909667969
167,300.3347794386052,1221.7861,1544.19909667969
168,300.0291756082015,922.519,1545.931640625
169,300.06576449782733,1156.587,1545.931640625
170,300.08961554025586,2934.3772,1545.931640625
171,300.1444656999036,1097.4448,1545.931640625
172,300.16568921626845,1703.1919,1545.931640625
173,300.1807898131861,1401.3188,1545.931640625
174,300.06632551164483,1415.6162,1547.58288574219
175,300.0898717014205,3398.4792,1547.58288574219
176,300.1442864841831,1127.2455,1547.58288574219
177,300.1656164515854,1582.4747,1547.58288574219
178,300.18140197620585,946.2394,1547.58288574219
179,300.2020480139625,5766.169,1547.58288574219
180,300.06591717820345,1897.0979,1548.85375976562
181,300.0897682487212,1722.0818,1548.85375976562
182,300.1446625913313,1770.6685,1548.85375976562
183,300.16500173694556,1125.0747,1548.85375976562
184,300.20181024845544,3647.2825,1548.85375976562
185,300.2980623900924,807.59485,1548.85375976562
186,300.06574524572545,2210.8577,1550.318359375
187,300.08934794682705,2965.537,1550.318359375
188,300.14445412661075,1233.2314,1550.318359375
189,300.16556925400005,1415.7767,1550.318359375
190,300.20196148410685,6175.4043,1550.318359375
191,300.8968326247058,1570.4381,1550.318359375
192,300.06573626533395,2589.346,1552.02954101562
193,300.08956812185136,3319.8782,1552.02954101562
194,300.14414874469304,1137.8438,1552.02954101562
195,300.1657415213765,1999.8175,1552.02954101562
196,300.2018843258779,6179.711,1552.02954101562
197,300.2980625342542,1840.6486,1552.02954101562
198,300.06637492980707,2658.792,1553.61145019531
199,300.08939471409013,2531.8777,1553.61145019531
200,300.1446543475644,1979.481,1553.61145019531
201,300.1657771629175,2136.4595,1553.61145019531
202,300.18053241978316,1023.35754,1553.61145019531
203,300.2020063222331,7331.2563,1553.61145019531
204,300.02907970879755,1137.4042,1554.8564453125
205,300.06621890723574,1423.1914,1554.8564453125
206,300.08957523965694,2691.8564,1554.8564453125
207,300.1654446041157,2118.1807,1554.8564453125
208,300.18126177780135,1180.4155,1554.8564453125
209,300.2019816819549,5082.312,1554.8564453125
210,300.06594275027794,1130.5344,1556.25244140625
211,300.0896384751836,2901.2798,1556.25244140625
212,300.16617449037915,1498.5574,1556.25244140625
213,300.18050097335913,790.626,1556.25244140625
214,300.2022713243658,4335.052,1556.25244140625
215,300.29027000286027,892.08453,1556.25244140625
216,300.0657943994384,1663.295,1558.00354003906
217,300.0894987324185,3796.2986,1558.00354003906
218,300.14490800652516,1184.2435,1558.00354003906
219,300.16574307797043,2279.902,1558.00354003906
220,300.2020393812223,6145.377,1558.00354003906
221,300.29813894383153,1420.7643,1558.00354003906
222,300.0660008921619,2244.3467,1559.29125976562
223,300.0892919920887,1898.8247,1559.29125976562
224,300.14495347575485,706.0928,1559.29125976562
225,300.16563028749226,1955.9409,1559.29125976562
226,300.18158369148733,985.9723,1559.29125976562
227,300.20199373993825,4957.261,1559.29125976562
228,300.0664471925229,1815.254,1561.01330566406
229,300.0895216409875,4179.312,1561.01330566406
230,300.16578999699254,2278.2441,1561.01330566406
231,300.2019827042019,4252.716,1561.01330566406
232,300.2983251093738,1461.1968,1561.01330566406
233,300.3344409875895,2140.9324,1561.01330566406
234,300.0662147353892,2038.8878,1562.32336425781
235,300.08954804659646,3687.9382,1562.32336425781
236,300.14458328996807,1129.9045,1562.32336425781
237,300.16552192804954,2009.1389,1562.32336425781
238,300.1809083791575,1197.4624,1562.32336425781
239,300.2022153880003,5043.527,1562.32336425781
240,300.0659603602919,2893.4377,1564.07397460938
241,300.07201010627364,1045.4431,1564.07397460938
242,300.0898018307856,2537.4812,1564.07397460938
243,300.144740265081,1049.0365,1564.07397460938
244,300.16552831906716,2657.4836,1564.07397460938
245,300.1807219513287,937.35345,1564.07397460938
246,300.0662516907456,2234.6233,1565.71118164062
247,300.08930694064713,2457.7185,1565.71118164062
248,300.14429512520474,979.9695,1565.71118164062
249,300.165783366678,2274.4963,1565.71118164062
250,300.20200965235415,4673.4062,1565.71118164062
251,300.29813034599886,1176.3529,1565.71118164062
252,300.06591556801885,1374.9813,1567.046875
253,300.0714686721007,695.96735,1567.046875
254,300.0895029410357,2420.6174,1567.046875
255,300.14428017120406,913.17267,1567.046875
256,300.16569550919326,2018.7605,1567.046875
257,300.2019783811477,5555.533,1567.046875
258,300.0657897070362,2284.226,1568.783203125
259,300.08944034171566,2859.7832,1568.783203125
260,300.14438538152297,993.47894,1568.783203125
261,300.16548514018314,3376.0203,1568.783203125
262,300.201963678212,7099.804,1568.783203125
263,300.29050065526076,1028.7915,1568.783203125
264,300.0658512095451,2152.0876,1570.36181640625
265,300.0895219949873,2780.0222,1570.36181640625
266,300.1658124108442,2405.7288,1570.36181640625
267,300.18069621563683,920.86383,1570.36181640625
268,300.2019734612139,6363.032,1570.36181640625
269,300.3346419808888,1372.1908,1570.36181640625
270,300.06591282572793,1839.8445,1571.69384765625
271,300.0898185410788,2098.0994,1571.69384765625
272,300.16576471834105,2123.397,1571.69384765625
273,300.1805976791171,1176.7108,1571.69384765625
274,300.20180967754084,5390.39,1571.69384765625
275,300.29862425620473,1602.9618,1571.69384765625
276,300.06596445870093,1862.7698,1573.44921875
277,300.0895690946427,3386.6545,1573.44921875
278,300.14467243758247,1226.7472,1573.44921875
279,300.1656513710314,3258.853,1573.44921875
280,300.18017926641033,811.09326,1573.44921875
281,300.20205127780537,5681.044,1573.44921875
282,300.0655440461352,1284.9728,1574.71813964844
283,300.0893998579643,2491.0398,1574.71813964844
284,300.16557801175117,2050.1719,1574.71813964844
285,300.1814623438089,987.4739,1574.71813964844
286,300.20216211822697,5196.0884,1574.71813964844
287,300.29826178036626,798.84546,1574.71813964844
288,300.06595036510515,1610.2405,1576.45373535156
289,300.08966528334804,2302.2507,1576.45373535156
290,300.1657025620501,3130.7407,1576.45373535156
291,300.2021869282476,4001.3938,1576.45373535156
292,300.2983403917582,1435.4576,1576.45373535156
293,301.1415462433646,33476.598,1576.45373535156
294,300.06555818505973,1355.1206,1578.20324707031
295,300.08952713883843,3931.603,1578.20324707031
296,300.144179690205,1168.744,1578.20324707031
297,300.16567367296113,3642.4604,1578.20324707031
298,300.202051520675,5635.756,1578.20324707031
299,300.29835076168,1544.1423,1578.20324707031
300,300.06559563868575,2008.1239,1579.85180664062
301,300.08950706381984,3205.5308,1579.85180664062
302,300.14432169519364,1106.8741,1579.85180664062
303,300.16552312959914,3499.373,1579.85180664062
304,300.2020707593193,5768.707,1579.85180664062
305,300.29825481851407,1629.0425,1579.85180664062
306,300.06577394238263,1810.6738,1581.10729980469
307,300.08971896968336,2342.9883,1581.10729980469
308,300.1446478406208,689.2549,1581.10729980469
309,300.16529873633243,2560.6626,1581.10729980469
310,300.1809633774237,682.0732,1581.10729980469
311,300.20181661490426,4768.388,1581.10729980469
312,300.06556030898105,1627.0468,1582.80322265625
313,300.0895273531105,4473.293,1582.80322265625
314,300.14463933958496,1596.6746,1582.80322265625
315,300.1657314656253,4721.5825,1582.80322265625
316,300.20190786308393,6347.807,1582.80322265625
317,300.29800549734034,981.25165,1582.80322265625
318,300.02938620093283,1195.8577,1584.42724609375
319,300.0656731374071,1267.7369,1584.42724609375
320,300.0895558184508,2517.8936,1584.42724609375
321,300.14425156024777,1499.7904,1584.42724609375
322,300.1657983169121,4486.8677,1584.42724609375
323,300.2019785673365,7253.4673,1584.42724609375
324,300.0651572544969,923.54767,1585.71594238281
325,300.0894167101437,2457.3252,1585.71594238281
326,300.1443829013714,1222.9022,1585.71594238281
327,300.1655613382395,4051.7964,1585.71594238281
328,300.20210612578944,4407.159,1585.71594238281
329,300.29779211575385,1228.6987,1585.71594238281
330,300.0896826345358,2969.7502,1587.12292480469
331,300.1447802736568,2101.8896,1587.12292480469
332,300.1655884841168,4012.2083,1587.12292480469
333,300.202052671449,5418.064,1587.12292480469
334,300.2986677310328,1326.5966,1587.12292480469
335,300.33429886515137,1172.4686,1587.12292480469
336,300.0659687240724,1038.0763,1588.85363769531
337,300.0896404861977,2985.9094,1588.85363769531
338,300.1445338151259,1032.089,1588.85363769531
339,300.1655702922242,4757.237,1588.85363769531
340,300.20220044731843,4697.7046,1588.85363769531
341,300.2977520486669,1259.6038,1588.85363769531
342,300.08976630839015,3582.2146,1590.55505371094
343,300.16578440818523,3964.016,1590.55505371094
344,300.20207305722624,6173.3135,1590.55505371094
345,300.2980056573495,878.85736,1590.55505371094
346,300.33447957152526,1136.3678,1590.55505371094
347,301.14150371870494,34638.19,1590.55505371094
348,300.08947710703353,4326.878,1592.29345703125
349,300.16579050838766,5821.0225,1592.29345703125
350,300.20225759250695,7876.4014,1592.29345703125
351,300.2981460923105,1547.5153,1592.29345703125
352,300.33502131193177,1353.8431,1592.29345703125
353,301.1415499755583,42015.96,1592.29345703125
354,300.06606819774186,1103.9888,1593.861328125
355,300.08973324613794,4303.3906,1593.861328125
356,300.14461218280644,1304.7437,1593.861328125
357,300.16582611101063,5863.476,1593.861328125
358,300.1811329581103,1344.1534,1593.861328125
359,300.2021320168732,6757.6445,1593.861328125
360,300.0896466123224,3957.9543,1595.50939941406
361,300.09615734072395,899.2924,1595.50939941406
362,300.16571261573574,5924.2666,1595.50939941406
363,300.2021537893517,7204.5146,1595.50939941406
364,300.2984108435078,1502.946,1595.50939941406
365,301.1415114214973,42339.38,1595.50939941406
366,300.08934600701537,3996.1409,1596.7958984375
367,300.144067561632,837.8537,1596.7958984375
368,300.16558934811775,6137.1187,1596.7958984375
369,300.2019777314897,6252.0254,1596.7958984375
370,300.29832684357586,1289.5337,1596.7958984375
371,300.33421039148806,1314.5013,1596.7958984375
372,300.06581432348287,1185.624,1598.55334472656
373,300.08952826103507,3568.0815,1598.55334472656
374,300.1442671514228,1623.764,1598.55334472656
375,300.16572086395934,5854.6157,1598.55334472656
376,300.20219850929374,5624.816,1598.55334472656
377,300.29833179882814,1626.76,1598.55334472656
378,300.02942011365764,1236.185,1600.25183105469
379,300.065282313798,1162.3865,1600.25183105469
380,300.0895647762206,3683.836,1600.25183105469
381,300.14427487609885,1393.3142,1600.25183105469
382,300.16575447734016,7255.152,1600.25183105469
383,300.20200377510326,8152.8667,1600.25183105469
384,300.0292010065551,805.87286,1601.50854492188
385,300.06572182759817,865.9773,1601.50854492188
386,300.0897013494572,2859.2434,1601.50854492188
387,300.14494476739617,1259.7809,1601.50854492188
388,300.1656877631741,5844.506,1601.50854492188
389,300.2022661279692,6703.308,1601.50854492188
390,300.0892276295318,2734.157,1602.97534179688
391,300.1450157020224,804.9584,1602.97534179688
392,300.16557645592513,5881.8984,1602.97534179688
393,300.18115765060793,1083.428,1602.97534179688
394,300.2019542913346,7239.517,1602.97534179688
395,300.298416675482,1115.6958,1602.97534179688
396,300.0897678704753,4006.545,1604.69299316406
397,300.14418549063873,1369.96,1604.69299316406
398,300.1658713125637,8357.662,1604.69299316406
399,300.2023029131001,8375.017,1604.69299316406
400,300.29805225384337,1500.2814,1604.69299316406
401,300.33453864323735,1536.3512,1604.69299316406
402,300.02952289852567,1093.292,1606.37744140625
403,300.0895678798221,3564.453,1606.37744140625
404,300.1447393238331,1097.8857,1606.37744140625
405,300.1657882884567,8928.3125,1606.37744140625
406,300.2020702170092,10874.832,1606.37744140625
407,300.2979778448023,1498.8359,1606.37744140625
408,300.06558201206707,1317.715,1608.01416015625
409,300.0896401451163,2616.1497,1608.01416015625
410,300.14428985663045,819.8322,1608.01416015625
411,300.1656409305816,10644.069,1608.01416015625
412,300.2021415791885,10633.198,1608.01416015625
413,300.2973216871371,791.01373,1608.01416015625
